"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1822","REG-CJA-008 — Campaigns Revenue column sort changes row order when multiple rows exist","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","254","REG-MO-029 — top campaigns bar and line graphs render","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","1144","REG-CWV-004 — top filter badges visible after View Filters","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","8705","REG-MO-011 — sample lookback Last 2 Days refreshes widgets when available","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","78","REG-CWV-022 — VitalScope metric icon opens drilldown modal with table","chromium-regression","2026-07-31","skipped","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","19531","REG-MO-016 — changing Auto Refresh does not alter lookback","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","16433","REG-CJA-011 — expand Campaigns URL, open landing detail, handoff to Path Analytics with data","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","27506","REG-MO-045 — two-filter combination and restrictive no-match empty state","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","50","REG-CWV-017 — top filter combo: restore Data Origin both + Last 7 Days","chromium-regression","2026-07-31","skipped","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","10807","REG-CWV-009 — top filter combo: Browser = Chrome","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","57","REG-MO-022 — Sitewide Totals metric formats by type (sampled)","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","4536","REG-MO-034 — Source table sort / search / clear when rows exist","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","1955","REG-CJA-005 — rapid tab switching leaves final Campaigns tab healthy","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","122","REG-CWV-027 — Performance By Geography world map renders","chromium-regression","2026-07-31","skipped","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","157","REG-MO-026 — Campaigns Over Time metric buttons visible","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","10366","REG-CJA-021 — apply Time Period Last 24 hours refreshes page","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","6322","REG-MO-010 — sample lookback Last 6 Hours refreshes Sitewide Totals when available","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","309","REG-MO-021 — Sitewide Totals title and ten metric cards render","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","23402","REG-MO-049 — combination lookback + campaign metric + refresh without duplicates","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","3407","REG-CJA-017 — Path Flow Focal Page View toggles and restores Landing view","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","169","REG-CWV-035 — Favorites section optional soft-check via left nav","chromium-regression","2026-07-31","skipped","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","6283","REG-MO-032 — Campaigns Over Time hamburger options work and restore chart state","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","131","REG-CWV-001 — page loads via BI Core Web Vitals menu/route with correct title","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","1501","REG-MO-023 — Sitewide Totals info icons expose meaningful tooltip text","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","151","REG-CWV-033 — Time Period Last 7 days refreshes overview table","chromium-regression","2026-07-31","skipped","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","279","REG-MO-006 — dashboard header controls are attached/visible","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","13","REG-MO-005 — browser title indicates Marketing Insights Overview","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","103","REG-CWV-025 — hamburger export exposes CSV download","chromium-regression","2026-07-31","skipped","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","100","REG-CJA-030 — Revenue Attribution affordance soft presence check (no mutation)","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","302","REG-MO-040 — Sessions by Device graphs","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","9211","REG-CWV-006 — top filter combo: Data Origin = Native Webview","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
